x	y	epresenceScore	epresence	eorientScore	eorient	ecorr
GU-185_<<_GU-178	GU-185	GU-178	0.106454030103603	1	-1	-1	0.918558653543692
GU-185_<<_GU-1020	GU-185	GU-1020	NA	0	NA	NA	NA
GU-185_<<_GU-400	GU-185	GU-400	NA	0	NA	NA	NA
GU-185_<<_GU-92	GU-185	GU-92	NA	0	NA	NA	NA
GU-185_<<_GU-760	GU-185	GU-760	0.386671662214114	1	1	1	0.514495755427527
GU-185_<<_GU-905	GU-185	GU-905	NA	0	NA	NA	NA
GU-185_<<_GU-3349	GU-185	GU-3349	NA	0	NA	NA	NA
GU-185_<<_GU-1771	GU-185	GU-1771	NA	0	NA	NA	NA
GU-185_<<_GU-2735	GU-185	GU-2735	NA	0	NA	NA	NA
GU-185_<<_GU-2508	GU-185	GU-2508	0.426223366130188	1	1	1	0.467707173346743
GU-185_<<_GU-860	GU-185	GU-860	0.848993288590604	1	1	1	-0.359024561106316
GU-185_<<_GU-921	GU-185	GU-921	NA	0	NA	NA	NA
GU-185_<<_GU-124	GU-185	GU-124	NA	0	NA	NA	NA
GU-185_<<_GU-2750	GU-185	GU-2750	0.445999218088226	1	1	1	0.421463615211762
GU-185_<<_GU-3831	GU-185	GU-3831	NA	0	NA	NA	NA
GU-185_<<_GU-973	GU-185	GU-973	NA	0	NA	NA	NA
GU-185_<<_GU-1671	GU-185	GU-1671	NA	0	NA	NA	NA
GU-185_<<_GU-1924	GU-185	GU-1924	0.514318759366652	1	1	1	-0.393178549746392
GU-185_<<_GU-95	GU-185	GU-95	0.520101648530658	1	1	1	-0.393178549746392
GU-185_<<_GU-328	GU-185	GU-328	0.730582524271845	1	0	0	-0.393178549746392
GU-185_<<_GU-249	GU-185	GU-249	0.733009708737864	1	0	0	-0.393178549746392
GU-185_<<_GU-166	GU-185	GU-166	NA	0	NA	NA	NA
GU-185_<<_GU-315	GU-185	GU-315	NA	0	NA	NA	NA
GU-185_<<_GU-409	GU-185	GU-409	NA	0	NA	NA	NA
GU-185_<<_GU-931	GU-185	GU-931	NA	0	NA	NA	NA
GU-185_<<_GU-6433	GU-185	GU-6433	NA	0	NA	NA	NA
GU-185_<<_GU-916	GU-185	GU-916	NA	0	NA	NA	NA
GU-185_<<_GU-85	GU-185	GU-85	NA	0	NA	NA	NA
GU-185_<<_GU-93	GU-185	GU-93	NA	0	NA	NA	NA
GU-185_<<_GU-267	GU-185	GU-267	NA	0	NA	NA	NA
GU-185_<<_GU-699	GU-185	GU-699	NA	0	NA	NA	NA
GU-185_<<_GU-1722	GU-185	GU-1722	NA	0	NA	NA	NA
GU-185_<<_GU-2616	GU-185	GU-2616	NA	0	NA	NA	NA
GU-185_<<_GU-805	GU-185	GU-805	NA	0	NA	NA	NA
GU-185_<<_GU-1795	GU-185	GU-1795	NA	0	NA	NA	NA
GU-185_<<_GU-871	GU-185	GU-871	NA	0	NA	NA	NA
GU-185_<<_GU-1149	GU-185	GU-1149	NA	0	NA	NA	NA
GU-185_<<_GU-412	GU-185	GU-412	NA	0	NA	NA	NA
GU-185_<<_GU-25	GU-185	GU-25	NA	0	NA	NA	NA
GU-185_<<_GU-928	GU-185	GU-928	NA	0	NA	NA	NA
GU-185_<<_GU-358	GU-185	GU-358	NA	0	NA	NA	NA
GU-185_<<_GU-757	GU-185	GU-757	NA	0	NA	NA	NA
GU-185_<<_GU-6266	GU-185	GU-6266	NA	0	NA	NA	NA
GU-185_<<_GU-671	GU-185	GU-671	NA	0	NA	NA	NA
GU-178_<<_GU-1020	GU-178	GU-1020	0.1362969961556	1	1	1	0.849836585598797
GU-178_<<_GU-400	GU-178	GU-400	NA	0	NA	NA	NA
GU-178_<<_GU-92	GU-178	GU-92	NA	0	NA	NA	NA
GU-178_<<_GU-760	GU-178	GU-760	0.26088160552551	1	1	1	0.560112033611204
